DRIVER ID,MILEAGE LAST SERVICE,MILEAGE,SERVICE HISTORY,COMMON PROBLEM,SOLUTION USED
1,22940,38448,Oil Change; Brake Repair,Brake noise,Brake pad replacement
2,9514,39738,Engine Repair; Tire Rotation,Engine overheating,Radiator replacement
3,44584,57372,Bodywork; Paint Job,Dents and scratches,Body repair and repaint
4,16733,39790,Oil Change; General Maintenance,Oil leak,Oil seal replacement
5,20934,38051,Tire Alignment; Engine Repair,Misaligned wheels,Wheel alignment
6,20071,30575,Check Engine Light; Diagnostics,Check engine light,Diagnostic scan and repairs
7,63852,69615,Brake Service; Oil Change,Brake fluid leak,Brake fluid replacement
8,26797,30000,Exhaust Repair; General Maintenance,Exhaust leak,Exhaust system repair
9,9208,30512,Transmission Service; Brake Fluid Change,Slipping transmission,Transmission fluid change
10,15064,33433,Body Repair; Tire Replacement,Body damage,Body repair
11,22781,38242,Oil Change; Brake Inspection,Brake noise,Brake pad replacement
12,38095,52056,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement
13,22509,50744,Suspension Repair; Brake Service,Steering issues,Suspension adjustment
14,21619,63908,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing
15,50324,50603,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service
16,10398,37816,Brake Inspection; Diagnostics,Brake wear,Brake replacement
17,44311,52867,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment
18,20789,74308,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair
19,7004,43568,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan
20,32300,45503,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning
21,28316,44667,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement
22,53340,55608,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush
23,35558,46228,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change
24,29676,36459,Oil Change; Battery Replacement,Dead battery,Battery replacement
25,57646,63131,Tire Alignment; General Maintenance,Misaligned tires,Tire alignment
26,23112,33966,Brake Inspection; Oil Change,Brake noise,Brake pad replacement
27,68282,69429,Engine Diagnostics; Tune-Up,Engine misfiring,Spark plug replacement
28,7537,39652,Suspension Repair; Brake Service,Steering issues,Suspension adjustment
29,44706,49655,Tire Rotation; General Maintenance,Tire wear,Tire rotation and balancing
30,55375,58495,Transmission Fluid Change; Engine Repair,Transmission issues,Transmission service
31,14211,34634,Brake Inspection; Diagnostics,Brake wear,Brake replacement
32,14180,69257,Oil Change; Tire Alignment,Misaligned wheels,Wheel alignment
33,19468,73227,Exhaust Leak; General Maintenance,Exhaust noise,Exhaust system repair
34,47268,49802,Check Engine Light; Brake Fluid Change,Check engine light,Diagnostic scan
35,28467,67934,Tire Replacement; Oil Change,Poor fuel economy,Fuel system cleaning
36,60365,63570,Fluid Leak; Tire Rotation,Fluid leak,Fluid replacement
37,30115,36695,Engine Overheating; Diagnostics,Engine overheating,Cooling system flush
38,37302,68069,Transmission Repair; Brake Service,Transmission slipping,Transmission fluid change
39,34173,71279,Oil Change; Battery Inspection,Dead battery,Battery replacement
40,54943,63200,Tire Alignment; General Maintenance,Tire wear,Tire rotation
41,40770,42049,Brake Repair; Oil Change,Brake squeal,Brake pad replacement
42,30902,32346,Engine Check; Suspension Repair,Steering issues,Suspension adjustment
43,65127,73467,Exhaust Repair; Brake Service,Exhaust noise,Exhaust system repair
44,21812,31114,Transmission Service; Oil Change,Slipping transmission,Transmission fluid change
45,42794,50467,Fluid Check; Tire Replacement,Poor fuel economy,Fuel system cleaning
46,23300,57235,Check Engine Light; General Maintenance,Check engine light,Diagnostic scan
47,51354,67082,Brake Fluid Change; Engine Repair,Brake fluid leak,Brake fluid replacement
